scheme_name,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe_Ratio,Maximum_Drawdown,Worst_Date,Beta,Alpha,Return_Rank,Sharpe_Rank,Alpha_Rank,Drawdown_Rank,Fund_Score
Kotak Bluechip Direct,0.03184085023408012,0.17732072478298555,0.17975646843190796,0.6914349269259946,-0.33429874666118753,2020-03-23,0.7166860054001138,0.07987436338373996,1.0,1.0,1.0,2.0,1.25
ICICI Pru Bluechip Direct,-0.003818282365778858,0.11467652144127305,0.08313362963189008,0.6282646543712389,-0.33509892369046657,2020-03-23,0.8773839730019581,0.052536760112523596,3.0,2.0,3.0,3.0,2.75
Axis Bluechip Direct,0.06229403425431457,0.07364522321471867,0.06552373605146378,0.34573010165545626,-0.013923580128646473,2020-03-24,0.0030529734717549403,0.06193853334802692,4.0,4.0,2.0,1.0,2.85
Nippon Large Cap Direct,0.005480773753939738,0.15255729264662876,0.1627839729061371,0.5709820484548379,-0.3996075381332732,2020-03-23,0.9907541067371831,0.037620654405408384,2.0,3.0,4.0,5.0,3.4000000000000004
SBI Bluechip Direct,-0.013183792320140886,-0.019646006575265273,-0.0732975307676429,-0.676755636176592,-0.36651701755201316,2024-12-20,0.02160557619305887,0.0031833714245341673,5.0,5.0,5.0,4.0,4.75
